ID;Sample;L;Trait;Right;Left
18;2;240;C07;12;11
19;2;252;C07;18;19
20;2;261;C07;17;17
21;2;270;C07;17;17
22;2;257;C07;17;17
23;2;270;C07;17;17
24;2;278;C07;17;17
25;2;257;C07;17;17
26;2;252;C07;17;17
27;2;261;C07;22;22
28;2;252;C07;17;17
29;2;244;C07;17;17
30;2;244;C07;17;13
31;2;239;C07;22;17
32;2;278;C07;17;17
33;2;252;C07;17;17
34;2;252;C07;17;17
35;2;261;C07;17;17
36;2;252;C07;17;17
37;3;252.3;C07;NA;NA
38;3;269.7;C07;NA;NA
39;3;243.6;C07;NA;NA
40;3;234.9;C07;NA;NA
41;3;252.3;C07;NA;NA
42;3;261;C07;NA;NA
43;3;226.2;C07;NA;NA
44;3;226.2;C07;NA;NA
45;3;252.3;C07;NA;NA
46;3;226.2;C07;NA;NA
47;3;261;C07;NA;NA
48;3;243.6;C07;NA;NA
49;3;261;C07;NA;NA
50;3;252.3;C07;NA;NA
51;3;247.95;C07;NA;NA
52;3;261;C07;NA;NA
53;3;247.95;C07;NA;NA
54;3;230.55;C07;NA;NA
55;3;230.55;C07;NA;NA
56;3;234.9;C07;NA;NA
57;3;265.35;C07;NA;NA
1;1;260;C08;160;150
2;1;260;C08;165;165
3;1;270;C08;155;155
4;1;270;C08;145;145
5;1;260;C08;145;145
6;1;255;C08;145;145
7;1;260;C08;120;150
8;1;260;C08;150;145
9;1;260;C08;135;155
10;1;265;C08;140;140
11;1;255;C08;140;145
12;1;240;C08;135;130
13;1;257.5;C08;155;160
14;1;262.5;C08;140;145
15;1;265;C08;125;125
16;1;265;C08;165;160
17;2;270;C08;123;131
18;2;240;C08;122;131
19;2;252;C08;157;139
20;2;261;C08;139;139
21;2;270;C08;122;122
22;2;257;C08;113;117
23;2;270;C08;139;135
24;2;278;C08;148;152
25;2;257;C08;139;139
26;2;252;C08;148;131
27;2;261;C08;148;144
28;2;252;C08;139;139
29;2;244;C08;127;135
30;2;244;C08;152;143
31;2;239;C08;144;144
32;2;278;C08;131;139
33;2;252;C08;130;139
34;2;252;C08;131;122
35;2;261;C08;148;148
36;2;252;C08;139;131
37;3;252.3;C08;121.8;134.9
38;3;269.7;C08;139.2;139.2
39;3;243.6;C08;121.8;126.2
40;3;234.9;C08;104.4;104.4
41;3;252.3;C08;121.8;121.8
42;3;261;C08;113.1;113.1
43;3;226.2;C08;121.8;126
44;3;226.2;C08;130.5;121.8
45;3;252.3;C08;130.5;130.5
46;3;226.2;C08;130;125
47;3;261;C08;130.5;121.8
48;3;243.6;C08;130.5;147.9
49;3;261;C08;130.5;130.5
50;3;252.3;C08;136;139.2
51;3;247.95;C08;130.5;130.5
52;3;261;C08;130.5;130.5
53;3;247.95;C08;130.5;121.8
54;3;230.55;C08;130.5;130
55;3;230.55;C08;126;130.5
56;3;234.9;C08;121.8;121.8
57;3;265.35;C08;130.5;139.2
1;1;260;C09;560;560
2;1;260;C09;575;595
3;1;270;C09;550;535
4;1;270;C09;545;560
5;1;260;C09;565;530
6;1;255;C09;585;570
7;1;260;C09;555;515
8;1;260;C09;540;545
9;1;260;C09;545;545
10;1;265;C09;515;500
11;1;255;C09;590;585
12;1;240;C09;480;495
13;1;257.5;C09;630;610
14;1;262.5;C09;555;570
15;1;265;C09;570;575
16;1;265;C09;605;620
17;2;270;C09;542;539
18;2;240;C09;583;574
19;2;252;C09;505;510
20;2;261;C09;545;549
21;2;270;C09;519;522
22;2;257;C09;559;559
23;2;270;C09;524;522
24;2;278;C09;534;539
25;2;257;C09;564;574
26;2;252;C09;505;505
27;2;261;C09;572;572
28;2;252;C09;519;525
29;2;244;C09;535;538
30;2;244;C09;531;535
31;2;239;C09;532;543
32;2;278;C09;534;538
33;2;252;C09;532;540
34;2;252;C09;572;559
35;2;261;C09;532;525
36;2;252;C09;499;505
37;3;252.3;C09;640;651.7
38;3;269.7;C09;638.4;638.4
39;3;243.6;C09;611.8;625.1
40;3;234.9;C09;590;580
41;3;252.3;C09;638.4;650
42;3;261;C09;570;570
43;3;226.2;C09;620;630
44;3;226.2;C09;630;640
45;3;252.3;C09;611.8;598.5
46;3;226.2;C09;625;625
47;3;261;C09;625.1;625
48;3;243.6;C09;625.1;630
49;3;261;C09;615;610
50;3;252.3;C09;611.8;611.8
51;3;247.95;C09;585.2;585.2
52;3;261;C09;651.7;646
53;3;247.95;C09;590;585.2
54;3;230.55;C09;630;620
55;3;230.55;C09;620;615
56;3;234.9;C09;598.5;610
57;3;265.35;C09;640;635
1;1;260;C10;835;840
2;1;260;C10;810;820
3;1;270;C10;825;860
4;1;270;C10;810;825
5;1;260;C10;785;750
6;1;255;C10;870;830
7;1;260;C10;785;710
8;1;260;C10;765;775
9;1;260;C10;720;740
10;1;265;C10;690;695
11;1;255;C10;865;840
12;1;240;C10;725;725
13;1;257.5;C10;840;850
14;1;262.5;C10;785;845
15;1;265;C10;815;785
16;1;265;C10;845;835
17;2;270;C10;760;751
18;2;240;C10;844;833
19;2;252;C10;652;657
20;2;261;C10;774;784
21;2;270;C10;798;785
22;2;257;C10;785;798
23;2;270;C10;735;842
24;2;278;C10;810;800
25;2;257;C10;805;810
26;2;252;C10;798;786
27;2;261;C10;811;805
28;2;252;C10;785;771
29;2;244;C10;687;679
30;2;244;C10;796;805
31;2;239;C10;732;745
32;2;278;C10;762;754
33;2;252;C10;798;771
34;2;252;C10;825;815
35;2;261;C10;758;745
36;2;252;C10;700;705
37;3;252.3;C10;795;784.7
38;3;269.7;C10;824.6;837.9
39;3;243.6;C10;811.3;824.6
40;3;234.9;C10;799;806
41;3;252.3;C10;810;825
42;3;261;C10;805;815
43;3;226.2;C10;820;825
44;3;226.2;C10;820;830
45;3;252.3;C10;792;784.7
46;3;226.2;C10;850;840
47;3;261;C10;824.6;837.9
48;3;243.6;C10;837.9;851.2
49;3;261;C10;803;811.3
50;3;252.3;C10;785;798
51;3;247.95;C10;758.1;771.4
52;3;261;C10;851.2;860
53;3;247.95;C10;757;744.8
54;3;230.55;C10;770;760
55;3;230.55;C10;750;760
56;3;234.9;C10;798;806
57;3;265.35;C10;820;830
1;1;260;C11;195;190
2;1;260;C11;200;195
3;1;270;C11;200;190
4;1;270;C11;185;190
5;1;260;C11;200;200
6;1;255;C11;160;175
7;1;260;C11;185;195
8;1;260;C11;185;185
9;1;260;C11;195;185
10;1;265;C11;180;180
11;1;255;C11;180;170
12;1;240;C11;180;175
13;1;257.5;C11;190;185
14;1;262.5;C11;160;170
15;1;265;C11;175;180
16;1;265;C11;205;200
17;2;270;C11;183;191
18;2;240;C11;189;182
19;2;252;C11;174;165
20;2;261;C11;148;142
21;2;270;C11;165;145
22;2;257;C11;191;174
23;2;270;C11;180;174
24;2;278;C11;200;200
25;2;257;C11;174;174
26;2;252;C11;165;165
27;2;261;C11;174;183
28;2;252;C11;157;157
29;2;244;C11;165;174
30;2;244;C11;178;174
31;2;239;C11;187;183
32;2;278;C11;157;157
33;2;252;C11;165;165
34;2;252;C11;183;183
35;2;261;C11;191;185
36;2;252;C11;165;174
37;3;252.3;C11;191.4;191.4
38;3;269.7;C11;208.8;217.5
39;3;243.6;C11;191.4;191.4
40;3;234.9;C11;174;174
41;3;252.3;C11;185;191.4
42;3;261;C11;182.7;182.7
43;3;226.2;C11;202;197
44;3;226.2;C11;182.7;182.7
45;3;252.3;C11;208.8;208.8
46;3;226.2;C11;202;205
47;3;261;C11;200;200.1
48;3;243.6;C11;208.8;208.8
49;3;261;C11;208.8;200.1
50;3;252.3;C11;200.1;208.8
51;3;247.95;C11;200.1;208.8
52;3;261;C11;208.8;208.8
53;3;247.95;C11;200.1;200.1
54;3;230.55;C11;191.4;191.4
55;3;230.55;C11;200.1;191.4
56;3;234.9;C11;218;217.5
57;3;265.35;C11;208.8;200.1
1;1;260;C12;150;140
2;1;260;C12;150;150
3;1;270;C12;125;140
4;1;270;C12;145;150
5;1;260;C12;140;155
6;1;255;C12;130;125
7;1;260;C12;135;140
8;1;260;C12;145;150
9;1;260;C12;135;130
10;1;265;C12;130;150
11;1;255;C12;145;155
12;1;240;C12;125;135
13;1;257.5;C12;160;160
14;1;262.5;C12;150;145
15;1;265;C12;135;140
16;1;265;C12;140;160
17;2;270;C12;113;110
18;2;240;C12;140;130
19;2;252;C12;96;87
20;2;261;C12;139;104
21;2;270;C12;134;139
22;2;257;C12;139;131
23;2;270;C12;122;122
24;2;278;C12;122;122
25;2;257;C12;130;139
26;2;252;C12;148;140
27;2;261;C12;104;104
28;2;252;C12;122;118
29;2;244;C12;122;135
30;2;244;C12;125;131
31;2;239;C12;122;122
32;2;278;C12;131;135
33;2;252;C12;139;134
34;2;252;C12;122;132
35;2;261;C12;149;157
36;2;252;C12;122;122
37;3;252.3;C12;243.6;226.2
38;3;269.7;C12;217.5;227
39;3;243.6;C12;234.9;226.2
40;3;234.9;C12;200.1;208.8
41;3;252.3;C12;217.5;208.8
42;3;261;C12;208.8;210
43;3;226.2;C12;217.5;208.8
44;3;226.2;C12;212;217.5
45;3;252.3;C12;230;235
46;3;226.2;C12;208.8;208.8
47;3;261;C12;243.6;230
48;3;243.6;C12;243.6;240
49;3;261;C12;217.5;234.9
50;3;252.3;C12;234.9;245
51;3;247.95;C12;200.1;191.4
52;3;261;C12;252.3;252.3
53;3;247.95;C12;234.9;243.6
54;3;230.55;C12;200.1;195
55;3;230.55;C12;208.8;200.1
56;3;234.9;C12;208.8;208.8
57;3;265.35;C12;200.1;200.1
1;1;260;C13;60;65
2;1;260;C13;65;75
3;1;270;C13;75;75
4;1;270;C13;65;65
5;1;260;C13;70;75
6;1;255;C13;75;70
7;1;260;C13;65;70
8;1;260;C13;70;75
9;1;260;C13;75;80
10;1;265;C13;60;75
11;1;255;C13;70;70
12;1;240;C13;70;60
13;1;257.5;C13;80;75
14;1;262.5;C13;75;65
15;1;265;C13;65;65
16;1;265;C13;70;70
17;2;270;C13;70;74
18;2;240;C13;61;52
19;2;252;C13;61;61
20;2;261;C13;70;61
21;2;270;C13;74;78
22;2;257;C13;74;74
23;2;270;C13;78;61
24;2;278;C13;78;70
25;2;257;C13;78;74
26;2;252;C13;70;75
27;2;261;C13;65;62
28;2;252;C13;74;61
29;2;244;C13;74;70
30;2;244;C13;70;70
31;2;239;C13;70;70
32;2;278;C13;70;70
33;2;252;C13;70;70
34;2;252;C13;70;70
35;2;261;C13;70;70
36;2;252;C13;70;70
37;3;252.3;C13;95.7;95.7
38;3;269.7;C13;87;87
39;3;243.6;C13;95.7;104.4
40;3;234.9;C13;104.4;104.4
41;3;252.3;C13;95.7;96
42;3;261;C13;87;95.7
43;3;226.2;C13;121.8;120
44;3;226.2;C13;123;113.1
45;3;252.3;C13;87;87
46;3;226.2;C13;95.7;104.4
47;3;261;C13;87;78.3
48;3;243.6;C13;95.7;95.7
49;3;261;C13;87;95.7
50;3;252.3;C13;95.7;87
51;3;247.95;C13;78.3;78.3
52;3;261;C13;87;78.3
53;3;247.95;C13;104.4;95.7
54;3;230.55;C13;104.4;113.1
55;3;230.55;C13;104.4;113.1
56;3;234.9;C13;87;87
57;3;265.35;C13;95.7;95.7
1;1;260;C14;110.1;110.1
2;1;260;C14;105;105
3;1;270;C14;108.8;107.5
4;1;270;C14;108.8;106.2
5;1;260;C14;102.4;102.4
6;1;255;C14;102.4;105
7;1;260;C14;110.1;112.6
8;1;260;C14;102.4;103.7
9;1;260;C14;102.4;102.4
10;1;265;C14;99.8;103.7
11;1;255;C14;102.4;101.1
12;1;240;C14;102.4;102.4
13;1;257.5;C14;107.5;107.5
14;1;262.5;C14;102.4;102.4
15;1;265;C14;105;105
16;1;265;C14;105;105
17;2;270;C14;105;105
18;2;240;C14;105;105
19;2;252;C14;98;98
20;2;261;C14;97;97
21;2;270;C14;101;98
22;2;257;C14;94;97
23;2;270;C14;98;105
24;2;278;C14;101;101
25;2;257;C14;101;101
26;2;252;C14;98;94
27;2;261;C14;102;98
28;2;252;C14;98;101
29;2;244;C14;101;98
30;2;244;C14;101;101
31;2;239;C14;105;101
32;2;278;C14;101;101
33;2;252;C14;98;101
34;2;252;C14;101;105
35;2;261;C14;108;108
36;2;252;C14;98;94
37;3;252.3;C14;111.9;115.5
38;3;269.7;C14;122.7;122.7
39;3;243.6;C14;119.1;119.1
40;3;234.9;C14;122.7;119.1
41;3;252.3;C14;119.1;115.5
42;3;261;C14;119.1;122.7
43;3;226.2;C14;119.1;119.1
44;3;226.2;C14;126.4;122.7
45;3;252.3;C14;119.1;115.5
46;3;226.2;C14;122.7;122.7
47;3;261;C14;119.1;122.7
48;3;243.6;C14;115.5;115.5
49;3;261;C14;119.1;119.1
50;3;252.3;C14;122.7;122.7
51;3;247.95;C14;115.5;115.5
52;3;261;C14;115.5;119.1
53;3;247.95;C14;119.1;115.5
54;3;230.55;C14;126.4;126.4
55;3;230.55;C14;126.35;119.13
56;3;234.9;C14;115.52;119.13
57;3;265.35;C14;122.74;122.74
1;1;260;C15;52.5;51.2
2;1;260;C15;53.8;53.8
3;1;270;C15;53.8;53.8
4;1;270;C15;52.5;52.5
5;1;260;C15;47.4;49.9
6;1;255;C15;53.1;49.9
7;1;260;C15;53.8;52.5
8;1;260;C15;51.2;49.9
9;1;260;C15;51.2;51.8
10;1;265;C15;49.9;47.4
11;1;255;C15;51.2;49.9
12;1;240;C15;49.9;47.4
13;1;257.5;C15;52.5;53.8
14;1;262.5;C15;49.9;49.9
15;1;265;C15;51.2;52.5
16;1;265;C15;53.8;53.8
17;2;270;C15;52.3;50.5
18;2;240;C15;50.5;46
19;2;252;C15;51;49
20;2;261;C15;47;44
21;2;270;C15;51;47
22;2;257;C15;52;52
23;2;270;C15;51;47
24;2;278;C15;51;47
25;2;257;C15;47;49
26;2;252;C15;45;47
27;2;261;C15;47;48
28;2;252;C15;47;47
29;2;244;C15;47;51
30;2;244;C15;51;49
31;2;239;C15;51;47
32;2;278;C15;52;51
33;2;252;C15;49;51
34;2;252;C15;51;49
35;2;261;C15;53;54
36;2;252;C15;47;47
37;3;252.3;C15;50.5;54.2
38;3;269.7;C15;54.2;54.2
39;3;243.6;C15;50.5;50.5
40;3;234.9;C15;46.9;46.9
41;3;252.3;C15;50.5;48.7
42;3;261;C15;50.5;50.5
43;3;226.2;C15;50.5;50.5
44;3;226.2;C15;46.9;48.7
45;3;252.3;C15;50.5;46.9
46;3;226.2;C15;52.3;50.5
47;3;261;C15;54.2;57.8
48;3;243.6;C15;54.2;54.2
49;3;261;C15;54.2;54.2
50;3;252.3;C15;54.2;54.2
51;3;247.95;C15;50.5;54.2
52;3;261;C15;57.8;54.2
53;3;247.95;C15;54.2;54.2
54;3;230.55;C15;50.5;50.5
55;3;230.55;C15;50.54;50.54
56;3;234.9;C15;50.54;54.15
57;3;265.35;C15;50.54;50.54
1;1;260;C16;128;128
2;1;260;C16;125.4;125.4
3;1;270;C16;131.8;135.7
4;1;270;C16;126.7;125.4
5;1;260;C16;124.2;122.9
6;1;255;C16;122.9;126.7
7;1;260;C16;122.9;125.4
8;1;260;C16;119;116.5
9;1;260;C16;126.7;128
10;1;265;C16;128;125.4
11;1;255;C16;125.4;126.7
12;1;240;C16;120.3;116.5
13;1;257.5;C16;129.3;129.3
14;1;262.5;C16;128;122.9
15;1;265;C16;131.8;130.6
16;1;265;C16;135.7;137
17;2;270;C16;112;112
18;2;240;C16;122;119
19;2;252;C16;126;116
20;2;261;C16;123;119
21;2;270;C16;116;125
22;2;257;C16;123;112
23;2;270;C16;123;123
24;2;278;C16;126;126
25;2;257;C16;119;123
26;2;252;C16;115;108
27;2;261;C16;115;117
28;2;252;C16;123;121
29;2;244;C16;130;134
30;2;244;C16;126;130
31;2;239;C16;119;119
32;2;278;C16;123;123
33;2;252;C16;123;126
34;2;252;C16;126;123
35;2;261;C16;132;134
36;2;252;C16;117;115
37;3;252.3;C16;97.5;104.7
38;3;269.7;C16;115.5;115.5
39;3;243.6;C16;104.7;108.3
40;3;234.9;C16;108.3;108.3
41;3;252.3;C16;108.3;104.7
42;3;261;C16;111.9;111.9
43;3;226.2;C16;122.7;126
44;3;226.2;C16;111.9;111.9
45;3;252.3;C16;93.9;97.5
46;3;226.2;C16;111.9;108.3
47;3;261;C16;104.7;111.9
48;3;243.6;C16;115.5;108.3
49;3;261;C16;101.1;104.7
50;3;252.3;C16;93.9;97.5
51;3;247.95;C16;97.5;93.9
52;3;261;C16;115.5;115.5
53;3;247.95;C16;104.7;101.1
54;3;230.55;C16;101.1;108.3
55;3;230.55;C16;108.3;108.3
56;3;234.9;C16;104.69;104.69
57;3;265.35;C16;111.91;111.91
1;1;260;C17;87;83.2
2;1;260;C17;92.2;88.3
3;1;270;C17;88.3;88.3
4;1;270;C17;89.6;85.8
5;1;260;C17;92.2;89.6
6;1;255;C17;79.4;79.4
7;1;260;C17;84.5;79.4
8;1;260;C17;84.5;80.6
9;1;260;C17;84.5;81.9
10;1;265;C17;88.3;88.3
11;1;255;C17;83.2;89.6
12;1;240;C17;78.1;83.2
13;1;257.5;C17;87;85.8
14;1;262.5;C17;87;87
15;1;265;C17;88.3;89.6
16;1;265;C17;96;93.4
17;2;270;C17;76;82
18;2;240;C17;94;86
19;2;252;C17;88;79
20;2;261;C17;94;94
21;2;270;C17;83;83
22;2;257;C17;90;83
23;2;270;C17;83;83
24;2;278;C17;87;83
25;2;257;C17;80;76
26;2;252;C17;83;79
27;2;261;C17;79;76
28;2;252;C17;79;83
29;2;244;C17;83;90
30;2;244;C17;87;90
31;2;239;C17;83;83
32;2;278;C17;81;83
33;2;252;C17;76;76
34;2;252;C17;83;83
35;2;261;C17;90;87
36;2;252;C17;87;79
37;3;252.3;C17;122.7;122.7
38;3;269.7;C17;130;133.6
39;3;243.6;C17;124;126.4
40;3;234.9;C17;115.5;119.1
41;3;252.3;C17;126.4;126.4
42;3;261;C17;130;137.2
43;3;226.2;C17;130;130
44;3;226.2;C17;140.8;137.2
45;3;252.3;C17;111.9;111.9
46;3;226.2;C17;130;130
47;3;261;C17;126.4;126.4
48;3;243.6;C17;122.7;122.7
49;3;261;C17;115.5;122.7
50;3;252.3;C17;111.9;119.1
51;3;247.95;C17;108.3;115.5
52;3;261;C17;140.8;140.8
53;3;247.95;C17;126.4;119.1
54;3;230.55;C17;122.7;137.2
55;3;230.55;C17;130;133.57
56;3;234.9;C17;126.35;122.74
57;3;265.35;C17;133.57;129.96
1;1;260;C18;157.4;156.2
2;1;260;C18;169;171.5
3;1;270;C18;166.4;162.6
4;1;270;C18;160;160
5;1;260;C18;166.4;153.6
6;1;255;C18;153.6;160
7;1;260;C18;157.4;160
8;1;260;C18;172.8;149.8
9;1;260;C18;153.6;171.5
10;1;265;C18;161.3;160
11;1;255;C18;169;166.4
12;1;240;C18;148.5;145.9
13;1;257.5;C18;172.8;175.4
14;1;262.5;C18;160;162.6
15;1;265;C18;160;169
16;1;265;C18;156.2;166.4
17;2;270;C18;152;144
18;2;240;C18;128;108
19;2;252;C18;131;144
20;2;261;C18;141;144
21;2;270;C18;141;144
22;2;257;C18;152;148
23;2;270;C18;134;134
24;2;278;C18;152;155
25;2;257;C18;152;155
26;2;252;C18;155;152
27;2;261;C18;152;155
28;2;252;C18;144;148
29;2;244;C18;159;159
30;2;244;C18;159;170
31;2;239;C18;157;152
32;2;278;C18;168;173
33;2;252;C18;162;158
34;2;252;C18;155;152
35;2;261;C18;148;155
36;2;252;C18;152;152
37;3;252.3;C18;148;144.4
38;3;269.7;C18;158.8;158.8
39;3;243.6;C18;144.4;146
40;3;234.9;C18;151.6;155.2
41;3;252.3;C18;145;150
42;3;261;C18;151.6;158.8
43;3;226.2;C18;150;160
44;3;226.2;C18;150;150
45;3;252.3;C18;145;145
46;3;226.2;C18;145;151.6
47;3;261;C18;150;155.2
48;3;243.6;C18;151.6;158.8
49;3;261;C18;151.6;151.6
50;3;252.3;C18;144.4;155.2
51;3;247.95;C18;144.4;150
52;3;261;C18;166;166.1
53;3;247.95;C18;151.6;155
54;3;230.55;C18;150;155
55;3;230.55;C18;170;169.67
56;3;234.9;C18;166.06;166.06
57;3;265.35;C18;158.84;158.84
1;1;260;C19;21.8;24.3
2;1;260;C19;23;21.8
3;1;270;C19;26.9;23
4;1;270;C19;20.5;24.3
5;1;260;C19;25.6;24.3
6;1;255;C19;21.8;21.8
7;1;260;C19;24.3;24.3
8;1;260;C19;21.8;24.3
9;1;260;C19;23;21.8
10;1;265;C19;20.5;20.5
11;1;255;C19;23;21.8
12;1;240;C19;21.8;20.5
13;1;257.5;C19;19.2;23
14;1;262.5;C19;20.5;23
15;1;265;C19;21.8;20.5
16;1;265;C19;23;23
17;2;270;C19;17;20
18;2;240;C19;18;20
19;2;252;C19;22;18
20;2;261;C19;20;20
21;2;270;C19;18;20
22;2;257;C19;17;17
23;2;270;C19;22;20
24;2;278;C19;18;18
25;2;257;C19;20;22
26;2;252;C19;22;23
27;2;261;C19;16;18
28;2;252;C19;20;19
29;2;244;C19;18;22
30;2;244;C19;22;24
31;2;239;C19;22;22
32;2;278;C19;22;18
33;2;252;C19;20;22
34;2;252;C19;18;18
35;2;261;C19;22;24
36;2;252;C19;18;20
37;3;252.3;C19;25.3;25.3
38;3;269.7;C19;32.5;25.3
39;3;243.6;C19;25.3;21.7
40;3;234.9;C19;25.3;25.3
41;3;252.3;C19;25.3;25.3
42;3;261;C19;28.9;25.3
43;3;226.2;C19;25.3;28.9
44;3;226.2;C19;21.7;21.7
45;3;252.3;C19;25;25.3
46;3;226.2;C19;27.1;25.3
47;3;261;C19;25.3;21.7
48;3;243.6;C19;25.3;25.3
49;3;261;C19;21.7;21.7
50;3;252.3;C19;25.3;25.3
51;3;247.95;C19;21.7;25.3
52;3;261;C19;28.9;28.9
53;3;247.95;C19;25.3;32.5
54;3;230.55;C19;21.7;21.7
55;3;230.55;C19;25.27;25.27
56;3;234.9;C19;21.66;21.66
57;3;265.35;C19;25.27;25.27
1;1;260;C20;12.8;14.1
2;1;260;C20;12.8;12.8
3;1;270;C20;14.1;12.8
4;1;270;C20;12.8;14.1
5;1;260;C20;11.5;14.1
6;1;255;C20;14.1;12.8
